"year","name","rating"
2013,"The Day the Crayons Quit",4.8
2013,"Doctor Sleep: A Novel",4.7
2013,"To Kill a Mockingbird",4.8
2013,"The Five Dysfunctions of a Team: A Leadership Fable",4.6
2013,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",4.7
2013,"The Legend of Zelda: Hyrule Historia",4.9
2013,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)",4.9
2013,"Sycamore Row (Jake Brigance)",4.5
2013,"Gone Girl",4.0
2013,"The Book Thief",4.6
2013,"The Goldfinch: A Novel (Pulitzer Prize for Fiction)",3.9
2013,"Joyland (Hard Case Crime)",4.5
2013,"Proof of Heaven: A Neurosurgeon's Journey into the Afterlife",4.3
2013,"Killing Jesus (Bill O'Reilly's Killing Series)",4.5
2013,"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)",3.8
2013,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",4.8
2014,"The Blood of Olympus (The Heroes of Olympus (5))",4.8
2014,"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons",4.7
2014,"All the Light We Cannot See",4.6
2014,"Capital in the Twenty First Century",4.5
2014,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",4.5
2014,"Diary of a Wimpy Kid: The Long Haul",4.8
2014,"Divergent",4.6
2014,"Divergent / Insurgent",4.5
2014,"First 100 Words",4.7
2014,"Frozen (Little Golden Book)",4.7
2014,"Gone Girl",4.0
2014,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",4.6
2014,"How to Win Friends & Influence People",4.7
2014,"Humans of New York",4.8
2014,"If I Stay",4.3
2014,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)",4.9
2014,"JOURNEY TO THE ICE P",4.6
2014,"Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series)",4.6
2014,"Knock-Knock Jokes for Kids",4.5
2014,"Laugh-Out-Loud Jokes for Kids",4.6
2014,"Little Blue Truck",4.9
2014,"Looking for Alaska",4.5
2014,"Love You Forever",4.8
2014,"Make It Ahead: A Barefoot Contessa Cookbook",4.5
2014,"Mindset: The New Psychology of Success",4.6
2014,"Oh, the Places You'll Go!",4.9
2014,"Orphan Train",4.6
2014,"Publication Manual of the American Psychological Association, 6th Edition",4.5
