name,year,price,rating
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,2013,16,4.6
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,2013,5,4.6
Wonder,2013,9,4.8
"Diary of a Wimpy Kid: Hard Luck, Book 8",2013,0,4.8
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",2013,6,4.4
"Oh, the Places You'll Go!",2013,8,4.9
The 5 Love Languages: The Secret to Love That Lasts,2013,28,4.7
Divergent,2013,15,4.6
The Very Hungry Caterpillar,2013,5,4.9
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,2013,6,4.1
"Publication Manual of the American Psychological Association, 6th Edition",2013,46,4.5
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",2013,17,4.7
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",2013,105,4.5
The Fault in Our Stars,2013,13,4.7
Inferno,2013,14,4.1
Humans of New York,2013,15,4.8
The Day the Crayons Quit,2013,9,4.8
Doctor Sleep: A Novel,2013,13,4.7
To Kill a Mockingbird,2013,0,4.8
The Five Dysfunctions of a Team: A Leadership Fable,2013,6,4.6
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2013,6,4.7
The Legend of Zelda: Hyrule Historia,2013,20,4.9
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2013,8,4.9
Sycamore Row (Jake Brigance),2013,18,4.5
Gone Girl,2013,10,4
The Book Thief,2013,6,4.6
The Goldfinch: A Novel (Pulitzer Prize for Fiction),2013,20,3.9
Joyland (Hard Case Crime),2013,12,4.5
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,2013,10,4.3
Killing Jesus (Bill O'Reilly's Killing Series),2013,12,4.5
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),2013,14,3.8
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",2013,11,4.8
The Blood of Olympus (The Heroes of Olympus (5)),2014,11,4.8
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,2014,30,4.7
All the Light We Cannot See,2014,14,4.6
